Responda responder_VERB_Fin_Sing
sinceramente sinceramente_ADV
: :
você você_PRON_Sing
conhece conhecer_VERB_Fin_Sing
alguém alguém_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
compra comprar_VERB_Fin_Sing
um um_DET_Masc_Sing
imóvel imóvel_NOUN_Masc_Sing
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
? ?
Ou ou_CCONJ
só só_ADV
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
, ,
que que_PRON_Rel_Fem_Sing
comprou comprar_VERB_Fin_Sing
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
com com_ADP
135 @card@
mil mil_NUM
notas nota_NOUN_Fem_Plur
de de_ADP
100 100_NUM
reais real_NOUN_Masc_Plur
? ?
clown_face_e clown_face_e
