RT rt_PROPN_Masc_Sing
@guimaraes13PT twitterhandle_PROPN_Sing
: :
Bolsonaro bolsonaro_PROPN_Masc_Sing
trouxe trazer_VERB_Fin_Sing
a o_DET_Fem_Sing
fome fome_NOUN_Fem_Sing
de de_ADP
volta volta_NOUN_Fem_Sing
: :
2 2_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
caíram cair_VERB_Fin_Plur
na em_o_ADP_DET_Fem_Sing
extrema extremo_ADJ_Fem_Sing
pobreza pobreza_NOUN_Fem_Sing
, ,
entre entre_ADP
janeiro janeiro_NOUN_Masc_Sing
de de_ADP
2019 @card@
e e_CCONJ
junho junho_NOUN_Masc_Sing
deste de_este_ADP_PRON_Masc_Sing
a o_DET_Fem_Sing
… …
