Olha olhar_VERB_Fin_Sing
, ,
pra pra_ADP
mim eu_PRON_Masc_Sing
quem quem_PRON_Rel_Masc_Sing
tem ter_VERB_Fin_Sing
muito muito_DET_Masc_Sing
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
ta ta_NOUN_Masc_Sing
escondendo esconder_VERB_Part
alguma algum_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
, ,
sonegando sonegar_VERB_Part
. .
. .
. .
pra pra_ADP
comprar comprar_VERB_Inf
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
então então_ADV
. .
. .
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
por por_ADP
que que_SCONJ
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
só só_ADJ_Fem_Sing
compra compra_NOUN_Fem_Sing
imóvel imóvel_ADJ_Fem_Sing
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
? ?
thinking_face_e thinking_face_e
