@jairbolsonaro twitterhandle_VERB_Fin_Sing
Obrigada obrigado_INTJ
Presidente presidente_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
por por_ADP
tudo tudo_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
fez fazer_VERB_Fin_Sing
pelo por_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
! !
! !
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
sua seu_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
grandemente grandemente_ADV
folded_hands_e folded_hands_e
red_heart_e red_heart_e
red_heart_e red_heart_e
red_heart_e red_heart_e
red_heart_e red_heart_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
clapping_hands_light_skin_tone_e clapping_hands_light_skin_tone_e
