@Nene_Ssantos twitterhandle_NOUN_Masc_Plur
@Metropoles twitterhandle_VERB_Fin_Sing
Isso isso_PRON_Masc_Sing
vale valer_VERB_Fin_Sing
pra pra_ADP
ladrão ladrão_NOUN_Masc_Sing
de de_ADP
joias joia_NOUN_Fem_Plur
também também_ADV
? ?
Pra pra_ADP
quem quem_PRON_Rel_Sing
compra comprar_VERB_Fin_Sing
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
sendo ser_AUX_Ger
político político_ADJ_Masc_Sing
? ?
Para para_ADP
quem quem_PRON_Rel_Sing
faz fazer_VERB_Fin_Sing
rachadinha rachadinha_NOUN_Fem_Sing
? ?
Ah ah_INTJ
, ,
tá estar_AUX_Fin_Sing
, ,
esses esse_PRON_Masc_Plur
você você_PRON_Fem_Sing
chama chamar_VERB_Fin_Sing
de de_ADP
 "  "
mito mito_NOUN_Masc_Sing
 "  "
. .
. .
. .
clown_face_e clown_face_e
clown_face_e clown_face_e
pile_of_poo_e pile_of_poo_e
pile_of_poo_e pile_of_poo_e
oncoming_fist_dark_skin_tone_e oncoming_fist_dark_skin_tone_e
