@erle_sandra twitterhandle_VERB_Fin_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
petista petista_ADJ_Masc_Sing
comunista comunista_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
comunista comunista_ADJ_Masc_Sing
comunista comunista_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
comunista comunista_ADJ_Masc_Sing
nao nao_NOUN_Masc_Sing
fala falar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
nao nao_ADJ_Masc_Sing
fala falar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
nao nao_ADJ_Masc_Sing
fala falar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
nao nao_ADJ_Masc_Sing
fala falar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
nao nao_ADJ_Masc_Sing
fala falar_VERB_Fin_Sing
dele de_ele_ADP_PRON_Masc_Sing
