@jairbolsonaro twitterhandle_NOUN_Masc_Sing
@emb_resistencia twitterhandle_VERB_Fin_Sing
Senhor senhor_PROPN_Sing
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
eu eu_PRON_Fem_Sing
tenho ter_VERB_Fin_Sing
uma um_DET_Fem_Sing
idéia idéia_NOUN_Fem_Sing
para para_ADP
acabar acabar_VERB_Inf
com com_ADP
todas todo_DET_Fem_Plur
essas esse_DET_Fem_Plur
mentiras mentira_NOUN_Fem_Plur
e e_CCONJ
difamações difamação_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
a o_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
fala falar_VERB_Fin_Sing
e e_CCONJ
propaga propagar_VERB_Fin_Sing
sobre sobre_ADP
a o_DET_Fem_Sing
sua seu_DET_Fem_Sing
pessoa pessoa_NOUN_Fem_Sing
! !
Me eu_PRON_Masc_Sing
procure procurar_VERB_Fin_Sing
, ,
se se_SCONJ
o o_DET_Masc_Sing
senhor senhor_NOUN_Masc_Sing
achar achar_VERB_Fin_Sing
melhor bom_ADJ_Masc_Sing
! !
ABS abs_NOUN_Masc_Plur
pra pra_ADP
vc vc_NOUN_Fem_Sing
e e_CCONJ
para para_ADP
a o_DET_Fem_Sing
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
! !
