@OlavoOpressor twitterhandle_NOUN_Masc_Sing
Amaldiçoados amaldiçoados_PROPN_Masc_Sing
COMUNISTAS comunistas_PROPN_Sing
! !
Em em_ADP
breve breve_ADJ_Masc_Sing
povo povo_NOUN_Masc_Sing
acabará acabar_AUX_Fin_Sing
com com_ADP
todos todo_DET_Masc_Plur
vocês você_PRON_Plur
! !
Frente frente_NOUN_Fem_Sing
aos a_o_ADP_DET_Masc_Plur
Quartéis quartel_NOUN_Masc_Plur
e e_CCONJ
fora fora_ADV
Congresso congresso_PROPN_Masc_Sing
e e_CCONJ
fora fora_ADV
STF stf_PROPN_Masc_Sing
! !
INTERVENÇÃO intervenção_NOUN_Fem_Sing
MILITAR militar_VERB_Fin_Sing
COM com_PROPN_Masc_Sing
BOLSONARO bolsonaro_PROPN_Sing
NO em_o_ADP_DET_Masc_Sing
PODER poder_PROPN_Masc_Sing
! !
Povo povo_NOUN_Masc_Sing
saíam sair_VERB_Fin_Plur
das de_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
e e_CCONJ
vamos ir_AUX_Fin_Plur
agir agir_VERB_Inf
! !
