Sempre sempre_ADV
que que_SCONJ
uma um_DET_Fem_Sing
gay gay_ADJ_Fem_Sing
conservadora conservador_NOUN_Fem_Sing
tiver ter_AUX_Fin_Sing
passando passar_AUX_Ger
vergonha vergonha_NOUN_Fem_Sing
dizendo dizer_VERB_Ger
q q_NOUN_Masc_Sing
vota votar_VERB_Fin_Sing
em em_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
que que_PRON_Rel_Masc_Sing
ele ele_PRON_Masc_Sing
gosta gostar_VERB_Fin_Sing
dos de_o_ADP_DET_Masc_Plur
gays gay_NOUN_Masc_Plur
, ,
mostre mostrar_VERB_Fin_Sing
este este_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
: :
7 7_NUM
minutos minuto_NOUN_Masc_Plur
e e_CCONJ
6 6_NUM
segundos segundo_NOUN_Masc_Plur
depois depois_ADV
, ,
vcs vcs_NOUN_Masc_Plur
conversam conversar_VERB_Fin_Plur
. .
