@BolsonaroSP twitterhandle_NOUN_Masc_Sing
red_circle_e red_circle_e
red_circle_e red_circle_e
Você você_PRON_Sing
sabia saber_VERB_Fin_Sing
? ?
- -
Em em_ADP
1968 @card@
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
Costa costa_PROPN_Masc_Sing
e e_CCONJ
Silva silva_PROPN_Sing
cassou cassar_VERB_Fin_Sing
o o_DET_Masc_Sing
STF stf_PROPN_Masc_Sing
por por_ADP
proteger proteger_VERB_Inf
e e_CCONJ
libertar libertar_VERB_Inf
corruptos corrupto_NOUN_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
. .
high_voltage_e high_voltage_e
Repete repetir_VERB_Fin_Sing
a o_DET_Fem_Sing
dose dose_NOUN_Fem_Sing
, ,
HASHTAG hashtag_PROPN_Masc_Sing
#bolsonaro_h #bolsonaro_h
! !
HASHTAG hashtag_PROPN_Masc_Sing
#opovomanda_h #opovomanda_h
HASHTAG hashtag_PROPN_Sing
#faxinageral_h #faxinageral_h
HASHTAG hashtag_PROPN_Sing
#artigo142já_h #artigo142já_h
check_mark_e check_mark_e
HASHTAG hashtag_PROPN_Sing
#forastf_h #forastf_h
check_mark_e check_mark_e
HASHTAG hashtag_PROPN_Sing
#foramaia_h #foramaia_h
check_mark_e check_mark_e
HASHTAG hashtag_PROPN_Sing
#foraalcolumbre_h #foraalcolumbre_h
cross_mark_e cross_mark_e
COMPARTILHEM compartilhar_VERB_Fin_Plur
