@GloboNews twitterhandle_NOUN_Masc_Sing
@IsabelaICamargo twitterhandle_ADJ_Masc_Sing
@cosmemarcelo twitterhandle_VERB_Fin_Sing
A o_DET_Fem_Sing
GloboNews globonews_PROPN_Fem_Sing
tá estar_AUX_Fin_Sing
silenciosa silencioso_ADJ_Fem_Sing
sobre sobre_ADP
os o_DET_Masc_Plur
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
que que_PRON_Rel_Masc_Plur
foram ser_AUX_Fin_Plur
comprados comprar_VERB_Part_Masc_Plur
em em_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
. .
Isso isso_PRON_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
notícia notícia_NOUN_Fem_Sing
, ,
mas mas_CCONJ
o o_DET_Masc_Sing
triplex triplex_ADJ_Masc_Sing
que que_PRON_Rel_Masc_Sing
não não_ADV
era ser_AUX_Fin_Sing
do de_o_ADP_DET_Masc_Sing
lula lula_NOUN_Fem_Sing
, ,
sim sim_ADV
. .
