JÁ já_ADV
ESTÁ estar_AUX_Fin_Sing
FICANDO ficar_VERB_Part
VERGONHOSO vergonhoso_ADJ_Masc_Sing
ATÉ até_ADV
PRO pro_PROPN_Masc_Sing
GADO gado_PROPN_Sing
BOLSOMINION bolsominion_PROPN_Sing
CONTINUAR continuar_PROPN_Sing
APOIANDO apoiando_PROPN_Sing
ESSES esses_PROPN_Sing
BANDIDOS bandidos_PROPN_Sing
: :
107 @card@
imóveis imóvel_NOUN_Masc_Plur
, ,
mais mais_ADV
de de_ADP
51 51_NUM
comprados comprar_VERB_Part_Masc_Plur
COM com_VERB_Fin_Plur
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
, ,
total total_ADJ_Masc_Sing
de de_ADP
mais mais_ADV
de de_ADP
25 25_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
reais real_NOUN_Masc_Plur
. .
A o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
tá estar_AUX_Fin_Sing
roubando roubar_VERB_Part
MUUUUITO muuuuito_PROPN_Masc_Sing
! !
! !
! !
HASHTAG hashtag_PROPN_Masc_Sing
#forabolsonarogenocidaesuaquadrilha_h #forabolsonarogenocidaesuaquadrilha_h
