@tonybrawn twitterhandle_NOUN_Masc_Sing
@zaynpride twitterhandle_ADJ_Masc_Sing
mano mano_ADJ_Masc_Sing
caralho caralho_NOUN_Masc_Sing
vcs vcs_ADJ_Masc_Sing
sao sao_VERB_Fin_Sing
muito muito_ADV
chatos chato_NOUN_Masc_Plur
bix bix_ADJ_Masc_Plur
, ,
ela ela_PRON_Fem_Sing
nem nem_ADV
falou falar_VERB_Fin_Sing
de de_ADP
esquerda esquerda_NOUN_Fem_Sing
. .
pq pq_VERB_Fin_Sing
vcs vcs_ADJ_Masc_Plur
bolsominions bolsominions_NOUN_Masc_Plur
sempre sempre_ADV
acham achar_VERB_Fin_Plur
que que_SCONJ
so so_VERB_Fin_Sing
pq pq_NOUN_Fem_Sing
algm algm_VERB_Fin_Plur
q q_NOUN_Masc_Sing
n n_NOUN_Masc_Sing
vota votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
e e_CCONJ
esquerdista esquerdista_NOUN_Masc_Sing
socialista socialista_ADJ_Masc_Sing
ou ou_CCONJ
comunista comunista_ADJ_Masc_Sing
? ?
oq oq_NOUN_Masc_Sing
tem ter_AUX_Fin_Sing
a a_ADP
ver ver_VERB_Inf
? ?
so so_VERB_Fin_Sing
pq pq_ADJ_Fem_Sing
a o_DET_Fem_Sing
pessoa pessoa_NOUN_Fem_Sing
pensa pensar_VERB_Fin_Sing
e e_CCONJ
ja ja_VERB_Fin_Sing
abriu abrir_VERB_Fin_Sing
um um_DET_Masc_Sing
livro livro_NOUN_Masc_Sing
de de_ADP
história história_NOUN_Fem_Sing
ela ela_PRON_Fem_Sing
e e_CCONJ
e e_CCONJ
esquerdista esquerdista_ADJ_Masc_Sing
? ?
ptm ptm_VERB_Fin_Plur
em em_ADP
