a o_DET_Fem_Sing
) )
bolsonaristas bolsonaristas_ADJ_Fem_Plur
chamam chamar_VERB_Fin_Plur
insurreição insurreição_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
PM pm_PROPN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
Bahia bahia_PROPN_Fem_Sing
b b_NOUN_Masc_Sing
) )
racha rachar_VERB_Fin_Sing
entre entre_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
emerge emergir_VERB_Fin_Sing
c c_NOUN_Masc_Sing
) )
polícia polícia_NOUN_Fem_Sing
chega chegar_VERB_Fin_Sing
à a_o_ADP_DET_Fem_Sing
esplanada esplanada_NOUN_Fem_Sing
pelo por_o_ADP_DET_Masc_Sing
topo topo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
min min_NOUN_Masc_Plur
. .
da de_o_ADP_DET_Fem_Sing
Justiça justiça_NOUN_Fem_Sing
d d_NOUN_Masc_Sing
) )
chefes chefe_NOUN_Masc_Plur
de de_ADP
exército exército_NOUN_Masc_Sing
, ,
marinha marinho_ADJ_Fem_Sing
e e_CCONJ
aeronáutica aeronáutico_ADJ_Fem_Sing
cogitam cogitar_VERB_Fin_Plur
entregar entregar_VERB_Inf
cargos cargo_NOUN_Masc_Plur
e e_CCONJ
) )
juntas juntar_VERB_Part_Fem_Plur
, ,
PMs pms_PROPN_Masc_Sing
têm ter_VERB_Fin_Plur
dobro dobro_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
efetivo efetivo_ADJ_Masc_Sing
das de_o_ADP_DET_Fem_Plur
f f_NOUN_Masc_Sing
. .
armadas armar_VERB_Part_Fem_Plur
+ +
