bolsominions bolsominions_NOUN_Masc_Plur
, ,
por por_ADP
que que_SCONJ
vocês você_PRON_Plur
me eu_PRON_Sing
seguem seguir_VERB_Fin_Plur
em em_ADP
todas todo_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
? ?
entendam entender_VERB_Fin_Plur
logo logo_ADV
: :
YO yo_PROPN_Masc_Sing
SOY soy_PROPN_Sing
COMUNISTAAAAA comunistaaaaa_PROPN_Sing
, ,
esquerdalha esquerdalha_VERB_Fin_Sing
, ,
petista petista_ADJ_Fem_Sing
, ,
pão pão_NOUN_Masc_Sing
com com_ADP
mortadela mortadela_NOUN_Fem_Sing
( (
vegana vegana_ADJ_Fem_Sing
) )
, ,
de de_ADP
volta volta_NOUN
pra para_o_ADP_DET_Fem_Sing
cuba cuba_NOUN_Fem_Sing
, ,
filha filha_NOUN_Fem_Sing
de de_ADP
Stalin stalin_PROPN_Masc_Sing
e e_CCONJ
afilhada afilhado_NOUN_Fem_Sing
de de_ADP
Che che_PROPN_Masc_Sing
que que_SCONJ
inferno inferno_ADJ_Masc_Sing
ai ai_NOUN_Masc_Sing
posto pôr_VERB_Part_Masc_Sing
um um_DET_Masc_Sing
bolsonaro bolsonaro_NOUN_Masc_Sing
vai ir_AUX_Fin_Sing
tomar tomar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
cu cu_NOUN_Masc_Sing
e e_CCONJ
acham achar_VERB_Fin_Plur
ruim ruim_ADJ_Masc_Sing
ne ne_VERB_Fin_Sing
foda foda_NOUN_Fem_Sing
