@Nor85AF twitterhandle_NOUN_Masc_Sing
@LeilaneNeubarth twitterhandle_ADJ_Masc_Sing
@MiriamLeitaoCom twitterhandle_VERB_Fin_Plur
Eu eu_PRON_Masc_Sing
falei falar_VERB_Fin_Sing
de de_ADP
comunista comunista_NOUN_Masc_Sing
? ?
Onde onde_ADV
? ?
Falei falar_VERB_Fin_Sing
do de_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
eu eu_PRON_Sing
vi ver_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
entrelinhas entrelinha_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
texto texto_NOUN_Masc_Sing
. .
Mas mas_CCONJ
, ,
comunistas comunista_ADJ_Masc_Plur
estão estar_AUX_Fin_Plur
ai ai_NOUN_Masc_Sing
, ,
se se_PRON_Masc_Plur
vc vc_VERB_Fin_Plur
não não_ADV
consegue conseguir_VERB_Fin_Sing
enxergar enxergar_VERB_Inf
, ,
ai ai_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
um um_DET_Masc_Sing
problema problema_NOUN_Masc_Sing
seu seu_DET_Masc_Sing
. .
Eu eu_PRON_Masc_Sing
só só_ADV
sei saber_VERB_Fin_Sing
que que_SCONJ
meu meu_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
será ser_AUX_Fin_Sing
empossado empossar_VERB_Part_Masc_Sing
depois depois_ADV
de de_ADP
amanhã amanhã_ADV
, ,
eu eu_PRON_Sing
vou ir_AUX_Fin_Sing
assistir assistir_VERB_Inf
en en_NOUN_Masc_Sing
Brasília brasília_PROPN_Masc_Sing
e e_CCONJ
quem quem_PRON_Rel_Sing
adora adorar_VERB_Fin_Sing
corrupto corrupto_ADJ_Masc_Sing
vá ir_AUX_Fin_Sing
pra pra_ADP
Curitiba curitiba_PROPN_Masc_Sing
. .
