RT rt_PROPN_Masc_Sing
@MiladyeLord twitterhandle_PROPN_Sing
: :
@cesarcalejon1 twitterhandle_VERB_Fin_Sing
A o_DET_Fem_Sing
REALIDADE realidade_NOUN_Fem_Sing
É ser_AUX_Fin_Sing
: :
BOLSONARISMO bolsonarismo_NOUN_Masc_Sing
É é_ADP
UMA uma_PROPN_Fem_Sing
SEITA seita_PROPN_Sing
. .
. .
. .
BOLSONARO bolsonaro_PROPN_Masc_Sing
TROUXE trouxe_PROPN_Sing
MORTES mortes_PROPN_Sing
. .
. .
. .
DESTRUIÇÃO destruição_NOUN_Fem_Sing
. .
. .
. .
SEPARAÇÃO separação_NOUN_Fem_Sing
FAMÍLIAR famíliar_PROPN_Masc_Sing
CO co_PROPN_Sing
… …
