@jairbolsonaro twitterhandle_VERB_Fin_Sing
Boa bom_ADJ_Fem_Sing
tarde tarde_NOUN_Fem_Sing
, ,
presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
Deus deus_PROPN_Masc_Sing
o o_PROPN_Sing
abençoe abençoar_VERB_Fin_Sing
e e_CCONJ
proteja proteger_VERB_Fin_Sing
sempre sempre_ADV
. .
folded_hands_e folded_hands_e
Que que_SCONJ
saudades saudade_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
, ,
TODO todo_VERB_Part_Masc_Sing
em em_ADP
prol prol_NOUN
do de_o_ADP_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
e e_CCONJ
do de_o_ADP_DET_Masc_Sing
país país_NOUN_Masc_Sing
. .
O o_DET_Masc_Sing
seu seu_NOUN_Masc_Sing
, ,
Jair jair_PROPN_Masc_Sing
Messias messias_PROPN_Sing
Bolsonaro bolsonaro_PROPN_Sing
, ,
foi ser_AUX_Fin_Sing
o o_DET_Masc_Sing
melhor bom_ADJ_Masc_Sing
governo governo_NOUN_Masc_Sing
que que_SCONJ
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
teve ter_VERB_Fin_Sing
. .
Obrigada obrigado_INTJ
por por_ADP
tudo tudo_PRON_Masc_Sing
! !
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
blue_heart_e blue_heart_e
white_heart_e white_heart_e
flag_brazil_e flag_brazil_e
