Acabaram acabar_AUX_Fin_Plur
com com_ADP
o o_DET_Masc_Sing
Bolsa bolsa_PROPN_Fem_Sing
Família família_PROPN_Sing
, ,
o o_DET_Masc_Sing
maior grande_ADJ_Masc_Sing
e e_CCONJ
mais mais_ADV
importante importante_ADJ_Masc_Sing
programa programa_NOUN_Masc_Sing
de de_ADP
transferência transferência_NOUN_Fem_Sing
direta direto_ADJ_Fem_Sing
de de_ADP
renda renda_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
mundo mundo_NOUN_Masc_Sing
; ;
programa programa_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
rompeu romper_VERB_Fin_Sing
o o_DET_Masc_Sing
ciclo ciclo_NOUN_Masc_Sing
de de_ADP
pobreza pobreza_NOUN_Fem_Sing
de de_ADP
milhões milhão_NOUN_Masc_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
, ,
que que_PRON_Rel_Masc_Sing
tirou tirar_VERB_Fin_Sing
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Mapa mapa_PROPN_Sing
Mundial mundial_PROPN_Sing
da de_o_ADP_DET_Fem_Sing
Fome fome_PROPN_Sing
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
genocida genocida_ADJ_Masc_Sing
, ,
e e_CCONJ
prova provar_VERB_Fin_Sing
isso isso_PRON_Masc_Sing
todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
dias dia_NOUN_Masc_Plur
. .
