@conexaopolitica twitterhandle_VERB_Fin_Sing
Uma um_DET_Fem_Sing
lambança lambança_NOUN_Fem_Sing
vergonha vergonha_NOUN_Fem_Sing
atrás atrás_ADV
d d_NOUN_Masc_Sing
outra outra_ADJ_Masc_Sing
primeiro primeiro_ADJ_Masc_Sing
através através_ADV
d d_NOUN_Masc_Sing
ato ato_NOUN_Masc_Sing
falho falho_ADJ_Masc_Sing
ou ou_CCONJ
traido traido_VERB_Part_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
própria próprio_ADJ_Fem_Sing
consciência consciência_NOUN_Fem_Sing
, ,
declarou declarar_VERB_Fin_Sing
q q_NOUN_Masc_Sing
o o_DET_Masc_Sing
processo processo_NOUN_Masc_Sing
q q_NOUN_Masc_Sing
julga julgar_VERB_Fin_Sing
a o_DET_Fem_Sing
chapa chapa_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
era ser_AUX_Fin_Sing
um um_DET_Masc_Sing
acordo acordo_NOUN_Masc_Sing
e e_CCONJ
agora agora_ADV
curte curtir_VERB_Fin_Sing
ofensa ofensa_ADJ_Fem_Sing
d d_NOUN_Masc_Sing
globalista globalista_ADJ_Masc_Sing
comunista comunista_ADJ_Masc_Sing
da de_o_ADP_DET_Fem_Sing
nova novo_ADJ_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
dirigida dirigir_VERB_Part_Fem_Sing
ao a_o_ADP_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
. .
STF stf_PROPN_Masc_Sing
ativista ativista_ADJ_Masc_Sing
d d_NOUN_Masc_Sing
esquerda esquerda_NOUN_Fem_Sing
! !
