@galegamineira twitterhandle_NOUN_Fem_Sing
@MariaMariaUnica twitterhandle_ADJ_Fem_Sing
@jairbolsonaro twitterhandle_VERB_Fin_Sing
Que que_SCONJ
Deus deus_PROPN_Masc_Sing
proteja proteger_VERB_Fin_Sing
e e_CCONJ
guarde guardar_VERB_Fin_Sing
o o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
! !
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
Que que_SCONJ
ele ele_PRON_Masc_Sing
seja ser_AUX_Fin_Sing
eleito eleger_VERB_Part_Masc_Sing
e e_CCONJ
mostre mostrar_VERB_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
Deus deus_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
Poderoso poderoso_ADJ_Masc_Sing
, ,
e e_CCONJ
está estar_AUX_Fin_Sing
no em_o_ADP_DET_Masc_Sing
comando comando_NOUN_Masc_Sing
. .
Se se_SCONJ
assim assim_ADV
for ser_AUX_Fin_Sing
a o_DET_Fem_Sing
vontade vontade_NOUN_Fem_Sing
de de_ADP
Deus deus_PROPN_Masc_Sing
, ,
em em_ADP
nome nome_NOUN_Masc_Sing
de de_ADP
Jesus jesus_PROPN_Masc_Sing
, ,
amém amém_NOUN_Masc_Sing
. .
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
