O o_DET_Masc_Sing
cristão cristão_NOUN_Masc_Sing
médio médio_ADJ_Masc_Sing
passa passar_VERB_Fin_Sing
a o_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
fazendo fazer_VERB_Ger
fofoca fofoca_NOUN_Fem_Sing
sobre sobre_ADP
os o_DET_Masc_Plur
outros outro_PRON_Masc_Plur
, ,
é ser_AUX_Fin_Sing
homofóbico homofóbico_ADJ_Masc_Sing
, ,
muitas muito_DET_Fem_Plur
vezes vez_NOUN_Fem_Plur
racista racista_ADJ_Fem_Sing
. .
Aí aí_ADV
você você_PRON_Sing
fala falar_VERB_Fin_Sing
que que_SCONJ
votar votar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
ir ir_VERB_Inf
em em_ADP
contradição contradição_NOUN_Fem_Sing
aos a_o_ADP_DET_Masc_Plur
preceitos preceito_NOUN_Masc_Plur
cristãos cristão_ADJ_Masc_Plur
a o_DET_Fem_Sing
pessoa pessoa_NOUN_Fem_Sing
dá dar_VERB_Fin_Sing
xilique xilique_NOUN_Masc_Sing
e e_CCONJ
diz dizer_VERB_Fin_Sing
que que_SCONJ
é ser_AUX_Fin_Sing
anti-cristão anti-cristão
julgar julgar_VERB_Inf
os o_DET_Masc_Plur
outros outro_PRON_Masc_Plur
. .
É ser_AUX_Fin_Sing
risível risível_ADJ_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
. .
. .
. .
