@MedicoLiberdade twitterhandle_NOUN_Fem_Sing
Este este_DET_Masc_Sing
Anderson anderson_PROPN_Masc_Sing
Torres torres_PROPN_Sing
não não_ADV
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
bonzinho bom_NOUN_Masc_Sing
não não_ADV
, ,
agora agora_ADV
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
Silas silas_PROPN_Masc_Sing
Malafaia malafaia_PROPN_Sing
e e_CCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
vão ir_AUX_Fin_Plur
preso prender_VERB_Part_Masc_Sing
, ,
acabou acabar_AUX_Fin_Sing
alegria alegria_NOUN_Fem_Sing
de de_ADP
rir rir_VERB_Inf
, ,
fazer fazer_VERB_Inf
passatas passatas_NOUN_Fem_Plur
, ,
pelos por_o_ADP_DET_Masc_Plur
menos menos_NOUN_Masc_Plur
vi ver_VERB_Fin_Sing
a o_DET_Fem_Sing
Andreia andreia_PROPN_Fem_Sing
avisando avisar_VERB_Ger
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
estes este_DET_Masc_Plur
monstros monstro_NOUN_Masc_Plur
irão ir_AUX_Fin_Plur
presos prender_VERB_Part_Masc_Plur
juntos junto_ADJ_Masc_Plur
com com_ADP
Anderson anderson_PROPN_Masc_Sing
Torres torres_PROPN_Sing
