@GenPauloChagas twitterhandle_VERB_Fin_Sing
General general_NOUN_Masc_Sing
, ,
porque porque_SCONJ
vocês você_PRON_Plur
não não_ADV
intervém intervir_VERB_Fin_Sing
, ,
já já_ADV
passou passar_VERB_Fin_Sing
da de_o_ADP_DET_Fem_Sing
hora hora_NOUN_Fem_Sing
, ,
a o_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
tá estar_AUX_Fin_Sing
brava bravo_ADJ_Fem_Sing
, ,
os o_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
vão ir_AUX_Fin_Plur
transformar transformar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
numa em_um_ADP_DET_Fem_Sing
Venezuela venezuela_PROPN_Fem_Sing
, ,
urnas urna_NOUN_Fem_Plur
serão ser_AUX_Fin_Plur
fraudadas fraudar_VERB_Part_Fem_Plur
como como_ADP
sempre sempre_ADV
e e_CCONJ
apesar apesar_ADV
de de_ADP
votarmos votar_VERB_Fin_Plur
em em_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
elegerão eleger_VERB_Fin_Plur
um um_DET_Masc_Sing
comunista comunista_NOUN_Masc_Sing
de de_ADP
novo novo_NOUN_Masc_Sing
! !
! !
