Nada nada_PRON_Masc_Sing
menos menos_ADV
que que_SCONJ
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
clã clã_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
foram ser_AUX_Fin_Plur
comprados comprar_VERB_Part_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
, ,
em em_ADP
negócios negócio_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
somam somar_VERB_Fin_Plur
R$ r$
26 26_NUM
milhões milhão_NOUN_Masc_Plur
. .
Metade metade_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
patrimônio patrimônio_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
foi ser_AUX_Fin_Sing
paga pagar_VERB_Part_Fem_Sing
assim assim_ADV
. .
Pelo por_o_ADP_DET_Masc_Sing
menos menos_NOUN_Masc_Sing
25 25_NUM
operações operação_NOUN_Fem_Plur
de de_ADP
compra compra_NOUN_Fem_Sing
ou ou_CCONJ
venda venda_NOUN_Fem_Sing
foram ser_AUX_Fin_Plur
alvo alvo_NOUN_Masc_Sing
de de_ADP
investigação investigação_NOUN_Fem_Sing
. .
