Assim assim_ADV
são ser_AUX_Fin_Plur
os o_DET_Masc_Plur
bolsominions bolsominions_NOUN_Masc_Plur
, ,
reclamando reclamar_VERB_Ger
de de_ADP
corrupção corrupção_NOUN_Fem_Sing
, ,
chamando chamar_VERB_Ger
o o_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
de de_ADP
ladrão ladrão_NOUN_Masc_Sing
E e_CCONJ
logo logo_ADV
logo logo_ADV
, ,
vem vir_VERB_Fin_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
mais mais_ADV
corrupto corrupto_ADJ_Masc_Sing
e e_CCONJ
ladrão ladrão_ADJ_Masc_Sing
. .
. .
. .
# #
# #
# #
# #
cadeia cadeia_NOUN_Fem_Sing
nele em_ele_ADP_PRON_Masc_Sing
! !
