Começo começar_AUX_Fin_Sing
a a_ADP
desconfiar desconfiar_VERB_Inf
que que_SCONJ
a o_DET_Fem_Sing
candidatura candidatura_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
passa passar_VERB_Fin_Sing
de de_ADP
um um_DET_Masc_Sing
jabá jabá_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
indústria indústria_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
. .
Uma um_DET_Fem_Sing
ação ação_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
lobby lobby_NOUN_Masc_Sing
pró-armas pró-armas
. .
O o_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
só só_ADV
fala falar_VERB_Fin_Sing
nisso em_isso_ADP_PRON_Masc_Sing
. .
Aff aff_PROPN_Masc_Sing
! !
