Não não_ADV
acredito acreditar_VERB_Fin_Sing
que que_SCONJ
estão estar_AUX_Fin_Plur
falando falar_VERB_Ger
que que_SCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
original original_NOUN_Masc_Sing
. .
Bolsonaro bolsonaro_PROPN_Masc_Sing
só só_ADV
fala falar_VERB_Fin_Sing
 "  "
eu eu_PRON_Sing
quero querer_VERB_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
pobre pobre_ADJ_Masc_Sing
seja ser_AUX_Fin_Sing
rico rico_ADJ_Masc_Sing
 "  "
e e_CCONJ
vai ir_AUX_Fin_Sing
acabar acabar_VERB_Inf
com com_ADP
o o_DET_Masc_Sing
bolsa bolsa_NOUN_Fem_Sing
família família_NOUN_Fem_Sing
. .
