@MurinhoVlogreal twitterhandle_NOUN_Masc_Sing
Presidente presidente_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
melhor bom_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
mundo mundo_NOUN_Masc_Sing
. .
Deus deus_PROPN_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
sempre sempre_ADV
folded_hands_light_skin_tone_e folded_hands_light_skin_tone_e
backhand_index_pointing_up_e backhand_index_pointing_up_e
flag_brazil_e flag_brazil_e
green_heart_e green_heart_e
yellow_heart_e yellow_heart_e
