Todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
invasores invasor_NOUN_Masc_Plur
de de_ADP
Brasília brasília_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
8 8_PROPN_Masc_Sing
de de_ADP
janeiro janeiro_NOUN_Masc_Sing
estão estar_AUX_Fin_Plur
comprovadamente comprovadamente_ADV
ligados ligar_VERB_Part_Masc_Plur
ao a_o_ADP_DET_Masc_Sing
bolsonarismo bolsonarismo_NOUN_Masc_Sing
, ,
seja ser_VERB_Fin_Sing
ideologicamente ideologicamente_ADV
ou ou_CCONJ
em em_ADP
relações relação_NOUN_Fem_Plur
diretas direto_ADJ_Fem_Plur
com com_ADP
políticos político_NOUN_Masc_Plur
bolsonaristas bolsonaristas_ADJ_Masc_Plur
. .
O o_DET_Masc_Sing
próprio próprio_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
defendeu defender_VERB_Fin_Sing
os o_DET_Masc_Plur
criminosos criminoso_NOUN_Masc_Plur
chamando chamar_VERB_Ger
-os eles_PRON_Masc_Plur
de de_ADP
 "  "
chefes chefe_NOUN_Masc_Plur
de de_ADP
família família_NOUN_Fem_Sing
 "  "
. .
