@BlogdoNoblat twitterhandle_NOUN_Masc_Sing
Sou ser_AUX_Fin_Sing
ia ir_AUX_Fin_Sing
de de_ADP
estar estar_AUX_Inf
armada armar_VERB_Part_Fem_Sing
e e_CCONJ
poder poder_NOUN_Masc_Sing
me me_PROPN
defender defender_VERB_Inf
sem sem_ADP
depender depender_VERB_Inf
de de_ADP
inteligente inteligente_ADJ_Masc_Sing
a a_ADP
ponto ponto_NOUN_Masc_Sing
de de_ADP
não não_ADV
deturpar deturpar_VERB_Inf
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
fala falar_VERB_Fin_Sing
. .
Não não_ADV
é ser_AUX_Fin_Sing
homofóbico homofóbico_ADJ_Masc_Sing
, ,
nem nem_CCONJ
machista machista_ADJ_Masc_Sing
ou ou_CCONJ
racista racista_ADJ_Masc_Sing
. .
A o_DET_Fem_Sing
maldade maldade_NOUN_Fem_Sing
está estar_AUX_Fin_Sing
na em_o_ADP_DET_Fem_Sing
cabeça cabeça_NOUN_Fem_Sing
e e_CCONJ
nos em_o_ADP_DET_Masc_Plur
olhos olho_NOUN_Masc_Plur
daqueles de_aquele_ADP_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
os o_PRON_Masc_Plur
enxergam enxergar_VERB_Fin_Plur
e e_CCONJ
os o_PRON_Masc_Plur
querem querer_VERB_Fin_Plur
semear semear_VERB_Inf
, ,
apenas apenas_ADV
. .
. .
que que_SCONJ
pena pena_NOUN_Fem_Sing
! !
