@77_frota twitterhandle_VERB_Fin_Sing
Por por_ADP
isso isso_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
vc vc_VERB_Fin_Sing
não não_ADV
foi ser_AUX_Fin_Sing
reeleito reeleger_VERB_Part_Masc_Sing
e e_CCONJ
nem nem_ADV
será ser_AUX_Fin_Sing
mais mais_ADV
. .
. .
. .
Falta falta_NOUN_Fem_Sing
de de_ADP
respeito respeito_NOUN_Masc_Sing
com com_ADP
os o_DET_Masc_Plur
brasileiros brasileiro_ADJ_Masc_Plur
, ,
que que_PRON_Rel_Masc_Plur
talvez talvez_ADV
já já_ADV
até até_ADV
votou votar_VERB_Fin_Sing
em em_ADP
vc vc_NOUN_Masc_Sing
. .
. .
. .
Incompetente incompetente_ADJ_Masc_Sing
! !
! !
Se se_PRON_Masc_Sing
reduza reduzir_VERB_Fin_Sing
a o_DET_Fem_Sing
sua seu_DET_Fem_Sing
insignificância insignificância_NOUN_Fem_Sing
. .
. .
. .
Invejoso invejoso_NOUN_Masc_Sing
! !
! !
Deus deus_PROPN_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
e e_CCONJ
proteja proteger_VERB_Fin_Sing
o o_DET_Masc_Sing
nosso nosso_DET_Masc_Sing
querido querido_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
! !
! !
flag_brazil_e flag_brazil_e
