RT rt_PROPN_Masc_Sing
@veramariams twitterhandle_PROPN_Sing
: :
Saudades saudade_NOUN_Fem_Plur
do de_o_ADP_DET_Masc_Sing
Governo governo_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
: :
melhor bom_ADJ_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
e e_CCONJ
de de_ADP
nossa nosso_DET_Fem_Sing
LIBERDADE liberdade_NOUN_Fem_Sing
! !
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
