RT rt_PROPN_Masc_Sing
@BlogdoNoblat twitterhandle_PROPN_Sing
: :
Por por_ADP
decreto decreto_NOUN_Masc_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
garantirá garantir_VERB_Fin_Sing
a o_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
de de_ADP
fogo fogo_NOUN
para para_ADP
o o_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
sem sem_ADP
antecedentes antecedente_NOUN_Masc_Plur
criminais criminal_ADJ_Masc_Plur
. .
O o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
você você_PRON_Sing
acha achar_VERB_Fin_Sing
disso de_isso_ADP_PRON_Masc_Sing
? ?
