@realpfigueiredo twitterhandle_ADJ_Masc_Sing
@marciosabedotti twitterhandle_NOUN_Masc_Sing
ALERTA alertar_VERB_Fin_Sing
Povo povo_PROPN_Masc_Sing
Brasileiro brasileiro_PROPN_Sing
; ;
Não não_ADV
vamos ir_AUX_Fin_Plur
entregar entregar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
pra para_o_ADP_DET_Fem_Sing
bandidagem bandidagem_NOUN_Fem_Sing
e e_CCONJ
comunistas comunista_ADJ_Masc_Plur
Corruptos corrupto_NOUN_Masc_Plur
, ,
Pra pra_VERB_Fin_Sing
CIMA cima_PROPN_Masc_Sing
Povo povo_PROPN_Sing
Brasileiro brasileiro_PROPN_Sing
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
skull_e skull_e
dagger_e dagger_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
Bolsonaro bolsonaro_PROPN_Sing
reeleito reeleger_VERB_Part_Masc_Sing
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
backhand_index_pointing_left_e backhand_index_pointing_left_e
Bolsonaro bolsonaro_PROPN_Sing
foi ser_AUX_Fin_Sing
REELEITO reeleito_PROPN_Masc_Sing
confiem confiar_VERB_Fin_Plur
backhand_index_pointing_left_e backhand_index_pointing_left_e
oncoming_fist_e oncoming_fist_e
oncoming_fist_e oncoming_fist_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
