@jairbolsonaro twitterhandle_VERB_Fin_Sing
O o_DET_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
Deus deus_PROPN_Masc_Sing
que que_PRON_Rel_Masc_Sing
já já_ADV
nos nós_PRON_Plur
livrou livrar_VERB_Fin_Sing
do de_o_ADP_DET_Masc_Sing
comunismo comunismo_NOUN_Masc_Sing
várias várias_DET_Fem_Plur
vezes vez_NOUN_Fem_Plur
, ,
haverá haver_VERB_Fin_Sing
agora agora_ADV
de de_ADP
nos nós_PRON_Masc_Plur
livrar livrar_VERB_Inf
da de_o_ADP_DET_Fem_Sing
sanha sanha_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
abutres abutre_NOUN_Masc_Plur
por por_ADP
carniça carniça_NOUN_Fem_Sing
. .
Eles eles_PRON_Masc_Plur
estão estar_AUX_Fin_Plur
gordos gordo_ADJ_Masc_Plur
e e_CCONJ
cevados cevar_VERB_Part_Masc_Plur
no em_o_ADP_DET_Masc_Sing
remanso remanso_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
fácil fácil_ADJ_Fem_Sing
e e_CCONJ
cabe caber_VERB_Fin_Sing
a a_ADP
nós nós_PRON_Plur
povo povo_NOUN_Masc_Sing
, ,
nas em_o_ADP_DET_Fem_Plur
ruas rua_NOUN_Fem_Plur
e e_CCONJ
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
lhes eles_PRON_Masc_Plur
mostrar mostrar_VERB_Inf
quem quem_PRON_Rel_Sing
manda mandar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
zona zona_NOUN_Fem_Sing
nacional nacional_ADJ_Fem_Sing
. .
Viva viva_PROPN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Sing
! !
