Se se_SCONJ
Lula lula_PROPN_Masc_Sing
foi ser_AUX_Fin_Sing
condenado condenar_VERB_Part_Masc_Sing
sem sem_ADP
nunca nunca_ADV
ter ter_AUX_Inf
sido ser_AUX_Part
comprovada comprovar_VERB_Part_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
um um_DET_Masc_Sing
triplex triplex_ADJ_Masc_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
as o_DET_Fem_Plur
autoridades autoridade_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
República república_NOUN_Fem_Sing
devem dever_AUX_Fin_Plur
fazer fazer_VERB_Inf
a a_ADP
partir partir_NOUN
de de_ADP
51 51_NUM
imóveis imóvel_NOUN_Masc_Plur
comprados comprar_VERB_Part_Masc_Plur
pela por_o_ADP_DET_Fem_Sing
Família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
e e_CCONJ
avaliados avaliar_VERB_Part_Masc_Plur
em em_ADP
26 26_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
reais real_NOUN_Masc_Plur
? ?
thinking_face_e thinking_face_e
