@gilsonpleal twitterhandle_ADJ_Masc_Sing
governo governo_NOUN_Masc_Sing
quer querer_VERB_Fin_Sing
se se_PRON
eximir eximir_VERB_Inf
da de_o_ADP_DET_Fem_Sing
responsabilidade responsabilidade_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
segurança segurança_NOUN_Fem_Sing
publica publicar_VERB_Fin_Sing
. .
por por_ADP
isso isso_PRON_Masc_Sing
quer querer_VERB_Fin_Sing
cada cada_DET_Masc_Sing
cidadão cidadão_NOUN_Masc_Sing
com com_ADP
uma um_DET_Fem_Sing
arma arma_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
mão mão_NOUN_Fem_Sing
. .
isso isso_PRON_Masc_Sing
não não_ADV
vai ir_AUX_Fin_Sing
resolver resolver_VERB_Inf
o o_DET_Masc_Sing
problema problema_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
criminalidade criminalidade_NOUN_Fem_Sing
pois pois_SCONJ
não não_ADV
somos ser_AUX_Fin_Plur
treinados treinar_VERB_Part_Masc_Plur
para para_ADP
o o_DET_Masc_Sing
combate combate_NOUN_Masc_Sing
, ,
nem nem_CCONJ
para para_ADP
reagir reagir_VERB_Inf
a a_ADP
um um_DET_Masc_Sing
ataque ataque_NOUN_Masc_Sing
. .
sou ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
da de_o_ADP_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
e e_CCONJ
contra contra_ADP
o o_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
arma arma_NOUN_Fem_Sing
. .
