@Gen_VillasBoas twitterhandle_VERB_Fin_Sing
As o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armado_ADJ_Fem_Plur
devem dever_AUX_Fin_Plur
continuar continuar_AUX_Inf
obedecendo obedecer_VERB_Part
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
foi ser_AUX_Fin_Sing
decidido decidir_VERB_Part_Masc_Sing
pelo por_o_ADP_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
através através_ADV
das de_o_ADP_DET_Fem_Plur
urnas urna_NOUN_Fem_Plur
. .
É ser_AUX_Fin_Sing
assim assim_ADV
desde desde_ADP
a o_DET_Fem_Sing
redemocratização redemocratização_NOUN_Fem_Sing
e e_CCONJ
vai ir_AUX_Fin_Sing
continuar continuar_AUX_Inf
sendo ser_VERB_Ger
. .
Não não_ADV
se se_PRON
deve dever_AUX_Fin_Sing
exaltar exaltar_VERB_Inf
desejo desejo_NOUN_Masc_Sing
pessoal pessoal_ADJ_Masc_Sing
pra pra_ADP
justificar justificar_VERB_Inf
uma um_DET_Fem_Sing
tentativa tentativa_NOUN_Fem_Sing
de de_ADP
golpe golpe_NOUN_Masc_Sing
, ,
por por_ADP
conta conta_NOUN
do de_o_ADP_DET_Masc_Sing
seu seu_DET_Masc_Sing
favorito favorito_NOUN_Masc_Sing
ter ter_AUX_Inf
sido ser_AUX_Part
derrotado derrotar_VERB_Part_Masc_Sing
. .
