Bolsonaro bolsonaro_PROPN_Masc_Sing
vai ir_AUX_Fin_Sing
colocar colocar_VERB_Inf
ordem ordem_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
! !
Vai ir_AUX_Fin_Sing
como como_ADV
? ?
Matando matar_VERB_Part
e e_CCONJ
torturando torturar_VERB_Part
. .
Os o_DET_Masc_Plur
primeiros primeiro_ADJ_Masc_Plur
serão ser_AUX_Fin_Plur
os o_DET_Masc_Plur
favelados favelado_ADJ_Masc_Plur
, ,
depois depois_ADV
os o_DET_Masc_Plur
gays gay_NOUN_Masc_Plur
, ,
negros negro_NOUN_Masc_Plur
, ,
índios índio_NOUN_Masc_Plur
. .
As o_DET_Fem_Plur
mulheres mulher_NOUN_Fem_Plur
serão ser_AUX_Fin_Plur
colocadas colocar_VERB_Part_Fem_Plur
num em_um_ADP_DET_Masc_Sing
papel papel_NOUN_Masc_Sing
 "  "
ainda ainda_ADV
mais muito_DET_Masc_Sing
 "  "
de de_ADP
submissão submissão_NOUN_Fem_Sing
. .
Cdadãos cdadãos_NOUN_Masc_Plur
de de_ADP
bem bem_ADV
enrolados enrolar_VERB_Part_Masc_Plur
na em_o_ADP_DET_Fem_Sing
bandeira bandeira_NOUN_Fem_Sing
nacional nacional_ADJ_Fem_Sing
falando falar_VERB_Ger
sobre sobre_ADP
seu seu_DET_Masc_Sing
deus deus_NOUN_Masc_Sing
 "  "
de de_ADP
amor amor_NOUN_Masc_Sing
 "  "
