Cadê cadê_ADV
o o_DET_Masc_Sing
plantão plantão_NOUN_Masc_Sing
JN jn_PROPN_Masc_Sing
? ?
Não não_ADV
irá ir_AUX_Fin_Sing
entrar entrar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
ar ar_NOUN_Masc_Sing
para para_ADP
denunciar denunciar_VERB_Inf
107 @card@
imóveis imóvel_NOUN_Masc_Plur
, ,
51 51_NUM
comprados comprar_VERB_Part_Masc_Plur
com com_ADP
dinheiro dinheiro_NOUN_Masc_Sing
vivo vivo_ADJ_Masc_Sing
? ?
Ahh ahh_PROPN_Masc_Sing
. .
. .
Claro claro_ADV
que que_SCONJ
não não_ADV
, ,
afinal afinal_ADV
não não_ADV
foi ser_AUX_Fin_Sing
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Lula lula_PROPN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Silva silva_PROPN_Sing
que que_PRON_Rel_Masc_Sing
comprou comprar_VERB_Fin_Sing
, ,
foi ser_AUX_Fin_Sing
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
candidato candidato_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Globo globo_PROPN_Fem_Sing
! !
