@senadorcidgomes twitterhandle_VERB_Fin_Sing
Um um_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
Canalha canalha_PROPN_Masc_Sing
, ,
corrupto corrupto_ADJ_Masc_Sing
igual igual_ADJ_Masc_Sing
você você_PRON_Sing
vir vir_AUX_Inf
falar falar_VERB_Inf
em em_ADP
apurar apurar_VERB_Inf
fake fake_NOUN_Masc_Sing
de de_ADP
corrupção corrupção_NOUN_Fem_Sing
contra contra_ADP
o o_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
! !
? ?
fala falar_VERB_Fin_Sing
sério sério_ADJ_Masc_Sing
bandido bandido_NOUN_Masc_Sing
. .
