Alexandre alexandre_PROPN_Masc_Sing
Moraes moraes_PROPN_Sing
determina determinar_VERB_Fin_Sing
bloqueio bloqueio_NOUN_Masc_Sing
de de_ADP
contas conta_NOUN_Fem_Plur
de de_ADP
bolsonaristas bolsonaristas_NOUN_Fem_Plur
em em_ADP
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
no em_o_ADP_DET_Masc_Sing
exterior exterior_NOUN_Masc_Sing
. .
 "  "
O o_DET_Masc_Sing
Twitter twitter_PROPN_Masc_Sing
considera considerar_VERB_Fin_Sing
a o_DET_Fem_Sing
determinação determinação_NOUN_Fem_Sing
desproporcional desproporcional_ADJ_Fem_Sing
sob sob_ADP
a o_DET_Fem_Sing
ótica ótica_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
regime regime_NOUN_Masc_Sing
de de_ADP
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
vigente vigente_ADJ_Fem_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
e e_CCONJ
irá ir_AUX_Fin_Sing
recorrer recorrer_VERB_Inf
da de_o_ADP_DET_Fem_Sing
decisão decisão_NOUN_Fem_Sing
de de_ADP
bloqueio bloqueio_NOUN_Masc_Sing
 "  "
