Por por_ADP
vários vários_DET_Masc_Plur
anos ano_NOUN_Masc_Plur
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
esteve estar_AUX_Fin_Sing
condenado condenar_VERB_Part_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
mãos mão_NOUN_Fem_Plur
de de_ADP
vagabundos vagabundo_NOUN_Masc_Plur
, ,
comunistas comunista_NOUN_Masc_Plur
, ,
criminosos criminoso_NOUN_Masc_Plur
, ,
pervertidos pervertido_NOUN_Masc_Plur
e e_CCONJ
corruptos corrupto_NOUN_Masc_Plur
, ,
vamos ir_AUX_Fin_Plur
dar dar_VERB_Inf
um um_DET_Masc_Sing
basta basta_NOUN_Masc_Sing
em em_ADP
tudo tudo_PRON_Rel_Masc_Sing
isso isso_PRON_Masc_Sing
! !
Todos todo_DET_Masc_Plur
juntos junto_ADJ_Masc_Plur
com com_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
para para_ADP
mudar mudar_VERB_Inf
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
de de_ADP
verdade verdade_NOUN_Fem_Sing
! !
HASHTAG hashtag_PROPN_Masc_Sing
#bolsonaronorodaviva_h #bolsonaronorodaviva_h
