Enquanto enquanto_ADV
a ela_PRON_Fem_Sing
midia midia_VERB_Fin_Sing
internacional internacional_ADJ_Masc_Sing
exalta exaltar_VERB_Fin_Sing
Lula lula_PROPN_Masc_Sing
e e_CCONJ
pede pedir_VERB_Fin_Sing
sua seu_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
, ,
um um_DET_Masc_Sing
jornal jornal_NOUN_Masc_Sing
suíço suíço_ADJ_Masc_Sing
desce descer_VERB_Fin_Sing
o o_DET_Masc_Sing
pau pau_NOUN_Masc_Sing
em em_ADP
bozo bozo_NOUN_Masc_Sing
. .
Ele ele_PRON_Masc_Sing
revidar revidar_VERB_Inf
, ,
mas mas_CCONJ
manda mandar_VERB_Fin_Sing
o o_DET_Masc_Sing
choro choro_NOUN_Masc_Sing
pro pro_ADJ_Masc_Sing
jornal jornal_NOUN_Masc_Sing
errado errado_ADJ_Masc_Sing
. .
. .
. .
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
face_with_tears_of_joy_e face_with_tears_of_joy_e
