@DamaresAlves twitterhandle_VERB_Fin_Sing
@republicanos10 twitterhandle_NUM
@meciasdejesus twitterhandle_NOUN_Masc_Sing
@crisrbritto twitterhandle_ADJ_Masc_Sing
DAMARES damares_VERB_Fin_Sing
: :
SUA seu_DET_Fem_Sing
HORA hora_NOUN_Fem_Sing
DE de_ADP
SER ser_PROPN_Masc_Sing
PRESA presa_PROPN_Sing
TÁ tá_PROPN_Sing
CHEGANDO chegando_PROPN_Sing
, ,
ASSIM assim_PROPN_Masc_Sing
COMO como_PROPN_Sing
A a_PROPN_Sing
DA de_o_ADP_DET_Fem_Sing
FAMÍLIA família_PROPN_Fem_Sing
BOLSONARO bolsonaro_PROPN_Sing
E e_CCONJ
A a_DET_Sing
DE de_PROPN_Sing
SÉRGIO sérgio_PROPN_Sing
MORO moro_PROPN_Sing
CANALHA canalha_PROPN_Sing
. .
