@radaronline twitterhandle_VERB_Fin_Sing
Quando quando_ADV
o o_DET_Masc_Sing
judiciário judiciário_ADJ_Masc_Sing
, ,
comunistas comunista_NOUN_Masc_Plur
e e_CCONJ
toda todo_DET_Fem_Sing
a o_DET_Fem_Sing
imprensa imprensa_NOUN_Fem_Sing
se se_PRON_Masc_Plur
unem unir_VERB_Fin_Plur
para para_ADP
impedir impedir_VERB_Inf
a o_DET_Fem_Sing
reeleição reeleição_NOUN_Fem_Sing
de de_ADP
um um_DET_Masc_Sing
democrata democrata_NOUN_Masc_Sing
, ,
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
apoiando apoiar_VERB_Ger
um um_DET_Masc_Sing
bandido bandido_NOUN_Masc_Sing
, ,
Lula lula_PROPN_Masc_Sing
, ,
ex-presidiário ex-presidiário
, ,
corrupto corrupto_ADJ_Masc_Sing
e e_CCONJ
ladrão ladrão_NOUN_Masc_Sing
condenado condenar_VERB_Part_Masc_Sing
, ,
não não_ADV
vejo ver_VERB_Fin_Sing
futuro futuro_NOUN_Masc_Sing
para para_ADP
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
, ,
para para_ADP
meus meu_DET_Masc_Plur
filhos filho_NOUN_Masc_Plur
e e_CCONJ
netos neto_NOUN_Masc_Plur
, ,
só só_ADV
nos nós_PRON_Plur
resta restar_VERB_Fin_Sing
rezar rezar_VERB_Inf
a a_ADP
Deus deus_NOUN
para para_ADP
nos nós_PRON_Plur
salvar salvar_VERB_Inf
