RT rt_PROPN_Masc_Sing
@marcosaraujjoo twitterhandle_VERB_Fin_Sing
: :
TCHAU tchau_VERB_Fin_Sing
BOZO bozo_PROPN_Masc_Sing
! !
Kkk kkk_PROPN_Masc_Sing
police_car_light_e police_car_light_e
ME me_PROPN_Sing
SIGAM sigam_PROPN_Sing
, ,
AQUI aqui_PROPN_Masc_Sing
TODOS todos_PROPN_Sing
SÃO são_PROPN_Masc_Sing
LULA lula_PROPN_Sing
! !
TAGS tags_NOUN_Masc_Plur
: :
O o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
nikolas nikolas_VERB_Fin_Sing
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
decepção decepção_NOUN_Fem_Sing
acabou acabar_AUX_Fin_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
HASHTAG hashtag_PROPN_Sing
#b_h #b_h
… …
