Temos ter_VERB_Fin_Plur
27 27_NUM
milhões milhão_NOUN_Masc_Plur
de de_ADP
brasileiros brasileiro_NOUN_Masc_Plur
na em_o_ADP_DET_Fem_Sing
extrema extremo_ADJ_Fem_Sing
pobreza pobreza_NOUN_Fem_Sing
. .
Famílias família_NOUN_Fem_Plur
estão estar_AUX_Fin_Plur
catando catar_VERB_Part
resto resto_NOUN_Masc_Sing
de de_ADP
comida comida_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
lixo lixo_NOUN_Masc_Sing
p p_NOUN_Masc_Sing
/ /
sobreviver sobreviver_VERB_Inf
. .
E e_CCONJ
o o_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
emergencial emergencial_ADJ_Masc_Sing
segue segar_VERB_Fin_Sing
suspenso suspender_VERB_Part_Masc_Sing
há há_ADP
3 3_NUM
meses mês_NOUN_Masc_Plur
. .
É ser_AUX_Fin_Sing
uma um_DET_Fem_Sing
covardia covardia_NOUN_Fem_Sing
. .
Quem quem_PRON_Rel_Sing
não não_ADV
morrer morrer_VERB_Inf
do de_o_ADP_DET_Masc_Sing
vírus vírus_NOUN_Masc_Sing
, ,
o o_DET_Masc_Sing
desgoverno desgoverno_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
quer querer_VERB_Fin_Sing
matar matar_VERB_Inf
de de_ADP
fome fome_NOUN_Fem_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#vidapaovacinaeducacao_h #vidapaovacinaeducacao_h
