RT rt_PROPN_Masc_Sing
@Conservadora191 twitterhandle_PROPN_Sing
: :
Nesse em_esse_ADP_DET_Masc_Sing
post post_NOUN_Masc_Sing
a o_DET_Fem_Sing
deputada deputado_NOUN_Fem_Sing
de de_ADP
extrema extremo_ADJ_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
não não_ADV
falou falar_VERB_Fin_Sing
nada nada_PRON_Masc_Sing
sobre sobre_ADP
o o_DET_Masc_Sing
sistema sistema_NOUN_Masc_Sing
eleitoral eleitoral_ADJ_Masc_Sing
, ,
apenas apenas_ADV
COLOCOU colocar_VERB_Fin_Sing
EM em_ADP
DÚVIDA dúvida_PROPN_Fem_Sing
A a_ADP
ELEIÇÃO eleição_PROPN_Sing
… …
