Apoiar apoiar_VERB_Inf
as o_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
mais mais_ADV
precisam precisar_VERB_Fin_Plur
é ser_AUX_Fin_Sing
urgente urgente_ADJ_Fem_Sing
. .
Por por_ADP
isso isso_PRON_Masc_Sing
, ,
vamos ir_AUX_Fin_Plur
pagar pagar_VERB_Inf
um um_DET_Masc_Sing
auxílio auxílio_NOUN_Masc_Sing
de de_ADP
R$ r$
500 500_NUM
, ,
em em_ADP
parcela parcela_NOUN_Fem_Sing
única único_ADJ_Fem_Sing
, ,
para para_ADP
aqueles aquele_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
estão estar_AUX_Fin_Plur
em em_ADP
situação situação_NOUN_Fem_Sing
de de_ADP
extrema extremo_ADJ_Fem_Sing
pobreza pobreza_NOUN_Fem_Sing
( (
renda renda_NOUN_Fem_Sing
per per_PROPN_Sing
capita capitar_VERB_Fin_Sing
de de_ADP
R$ r$
89 89_NUM
) )
. .
