Saiu sair_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
New new_PROPN_Masc_Sing
York york_PROPN_Sing
Times times_PROPN_Sing
! !
! !
! !
A o_DET_Fem_Sing
saída saída_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
3 3_NUM
Comandantes comandante_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
Forças forças_PROPN_Fem_Plur
Armadas armadas_PROPN_Sing
e e_CCONJ
a o_DET_Fem_Sing
crise crise_NOUN_Fem_Sing
gerada gerar_VERB_Part_Fem_Sing
pelo por_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
com com_ADP
a o_DET_Fem_Sing
área área_NOUN_Fem_Sing
militar militar_ADJ_Fem_Sing
