@emlleo twitterhandle_ADJ_Masc_Sing
@FlviaLeo16 twitterhandle_NOUN_Masc_Sing
Colega colega_PROPN_Fem_Sing
! !
Fico ficar_VERB_Fin_Sing
feliz feliz_ADJ_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
sua seu_DET_Fem_Sing
declaração declaração_NOUN_Fem_Sing
red_heart_e red_heart_e
. .
Queira querer_VERB_Fin_Sing
sentir sentir_VERB_Inf
-se se_PRON_Fem_Sing
abraçada abraçar_VERB_Part_Fem_Sing
, ,
pois pois_SCONJ
ninguém ninguém_PRON_Masc_Sing
merece merecer_VERB_Fin_Sing
, ,
nem nem_CCONJ
sequer sequer_ADV
pensar pensar_VERB_Inf
em em_ADP
perdermos perder_VERB_Fin_Plur
a o_DET_Fem_Sing
nossa nosso_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
. .
É ser_AUX_Fin_Sing
por por_ADP
essa esse_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
voto votar_VERB_Fin_Sing
para para_ADP
REELEGER reeleger_PROPN_Masc_Sing
o o_DET_Masc_Sing
PR pr_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
! !
! !
DEUS deus_NOUN_Masc_Sing
seja ser_AUX_Fin_Sing
louvado louvar_VERB_Part_Masc_Sing
e e_CCONJ
que que_PRON_Rel_Masc_Sing
escute escutar_VERB_Fin_Sing
as o_DET_Fem_Plur
nossas nosso_DET_Fem_Plur
preces prece_NOUN_Fem_Plur
. .
Amém amém_NOUN_Masc_Sing
! !
folded_hands_e folded_hands_e
woman_bowing_e woman_bowing_e
prayer_beads_e prayer_beads_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
