@pablovillaca twitterhandle_VERB_Fin_Sing
@AllanAminadab twitterhandle_PROPN_Masc_Sing
Tu tu_PROPN_Sing
acha achar_VERB_Fin_Sing
mesmo mesmo_ADV
que que_SCONJ
o o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
contra contra_ADP
bolsonaro bolsonaro_NOUN_Masc_Sing
? ?
Quem quem_PRON_Rel_Sing
está estar_AUX_Fin_Sing
contra contra_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
é ser_AUX_Fin_Sing
ladrão ladrão_ADJ_Masc_Sing
, ,
bandido bandido_ADJ_Masc_Sing
, ,
carcerário carcerário_ADJ_Masc_Sing
e e_CCONJ
artistas artista_NOUN_Masc_Plur
cheios cheio_ADJ_Masc_Plur
de de_ADP
privilégios privilégio_NOUN_Masc_Plur
. .
O o_DET_Masc_Sing
povo povo_NOUN_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
, ,
está estar_AUX_Fin_Sing
com com_ADP
bolsonaro bolsonaro_NOUN_Masc_Sing
, ,
as o_DET_Fem_Plur
urnas urna_NOUN_Fem_Plur
vão ir_AUX_Fin_Plur
gritar gritar_VERB_Inf
essa esse_DET_Fem_Sing
verdade verdade_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
sua seu_DET_Fem_Sing
cara cara_NOUN_Fem_Sing
! !
