@jandira_feghali twitterhandle_VERB_Fin_Sing
Fofinha fofo_NOUN_Fem_Sing
, ,
você você_PRON_Sing
acredita acreditar_VERB_Fin_Sing
mesmo mesmo_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
não não_ADV
aja agir_VERB_Fin_Sing
amor amor_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
direta direto_ADJ_Fem_Sing
? ?
Jura jura_NOUN_Fem_Sing
? ?
E e_CCONJ
apoio apoio_NOUN_Masc_Sing
popular popular_ADJ_Masc_Sing
? ?
57 57_NUM
milhões milhão_NOUN_Masc_Plur
não não_ADV
chega chegar_VERB_Fin_Sing
? ?
Ah ah_INTJ
esqueci esquecer_VERB_Fin_Sing
esse esse_DET_Masc_Sing
número número_NOUN_Masc_Sing
tá estar_AUX_Fin_Sing
desatualizado desatualizado_VERB_Part_Masc_Sing
, ,
75 75_NUM
% %
da de_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
apoiam apoiar_VERB_Fin_Plur
o o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
! !
Já já_ADV
o o_DET_Masc_Sing
Lula lula_PROPN_Masc_Sing
tá estar_AUX_Fin_Sing
preso prender_VERB_Part_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
, ,
ladrão ladrão_ADJ_Masc_Sing
! !
Direitos direito_NOUN_Masc_Plur
humanos humano_ADJ_Masc_Plur
são ser_AUX_Fin_Plur
pra pra_ADP
humanos humanos_NOUN_Masc_Plur
, ,
não não_ADV
moluscos molusco_ADJ_Masc_Plur
! !
