@LucianoHuck twitterhandle_NOUN_Masc_Sing
@Raul_Jungmann twitterhandle_PROPN_Masc_Sing
Luciano luciano_PROPN_Sing
, ,
não não_ADV
votei votar_VERB_Fin_Sing
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
mas mas_CCONJ
ele ele_PRON_Masc_Sing
ganhou ganhar_VERB_Fin_Sing
as o_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
tendo ter_VERB_Ger
como como_ADP
uma um_NUM
de de_ADP
suas seu_DET_Fem_Plur
bases base_NOUN_Fem_Plur
o o_DET_Masc_Sing
armamento armamento_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
. .
Ele ele_PRON_Masc_Sing
foi ser_AUX_Fin_Sing
eleito eleger_VERB_Part_Masc_Sing
por por_ADP
uma um_DET_Fem_Sing
maioria maioria_NOUN_Fem_Sing
com com_ADP
essa esse_DET_Fem_Sing
plataforma plataforma_NOUN_Fem_Sing
: :
a o_DET_Fem_Sing
enquete enquete_NOUN_Fem_Sing
já já_ADV
foi ser_AUX_Fin_Sing
feita fazer_VERB_Part_Fem_Sing
. .
Já já_ADV
é ser_AUX_Fin_Sing
hora hora_NOUN_Fem_Sing
de de_ADP
você você_PRON_Sing
também também_ADV
respeitar respeitar_VERB_Inf
a o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
! !
