RT rt_PROPN_Masc_Sing
@letsaguiar twitterhandle_VERB_Fin_Sing
: :
Mas mas_CCONJ
não não_ADV
tinham ter_AUX_Fin_Plur
desarmado desarmar_VERB_Part_Masc_Sing
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
? ?
thinking_face_e thinking_face_e
Culpa culpa_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
tá estar_AUX_Fin_Sing
armando armar_VERB_Part
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
. .
HASHTAG hashtag_PROPN_Masc_Sing
#sqn_h #sqn_h
Com com_ADP
certeza certeza_NOUN_Fem_Sing
esse esse_DET_Masc_Sing
 "  "
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
b b_NOUN_Masc_Sing
… …
