Bolsonaro bolsonaro_PROPN_Masc_Sing
quer querer_VERB_Fin_Sing
liberar liberar_VERB_Inf
arma arma_NOUN_Fem_Sing
para para_ADP
todo todo_DET_Masc_Sing
mundo mundo_NOUN_Masc_Sing
, ,
mas mas_CCONJ
está estar_AUX_Fin_Sing
borrando borrar_VERB_Part
de de_ADP
medo medo_NOUN_Masc_Sing
de de_ADP
levar levar_VERB_Inf
um um_DET_Masc_Sing
tiro tiro_NOUN_Masc_Sing
durante durante_ADP
a o_DET_Fem_Sing
cerimônia cerimônia_NOUN_Fem_Sing
de de_ADP
posse posse_NOUN_Fem_Sing
. .
Ué ué_PROPN_Fem_Sing
? ?
man_shrugging_e man_shrugging_e
