Para para_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
documentos documento_NOUN_Masc_Plur
oficiais oficial_ADJ_Masc_Plur
, ,
muitas muito_DET_Fem_Plur
vezes vez_NOUN_Fem_Plur
das de_o_ADP_DET_Fem_Plur
próprias próprio_DET_Fem_Plur
Forças forças_PROPN_Fem_Plur
Armadas armadas_PROPN_Sing
, ,
que que_PRON_Rel_Masc_Plur
relatam relatar_VERB_Fin_Plur
as o_DET_Fem_Plur
atrocidades atrocidade_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
Ditadura ditadura_PROPN_Fem_Sing
Militar militar_PROPN_Sing
são ser_AUX_Fin_Plur
 "  "
balela balela_NOUN_Fem_Sing
 "  "
. .
Será ser_AUX_Fin_Sing
que que_SCONJ
mais mais_ADV
confiáveis confiável_ADJ_Fem_Plur
são ser_AUX_Fin_Plur
as o_DET_Fem_Plur
inúmeras inúmero_ADJ_Fem_Plur
mentiras mentira_NOUN_Fem_Plur
que que_PRON_Rel_Fem_Plur
ele ele_PRON_Masc_Sing
e e_CCONJ
seus seu_DET_Masc_Plur
filhos filho_NOUN_Masc_Plur
contam contar_VERB_Fin_Plur
diariamente diariamente_ADV
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
? ?
