A o_DET_Fem_Sing
maior grande_ADJ_Fem_Sing
bronca bronco_NOUN_Fem_Sing
dos de_o_ADP_DET_Masc_Plur
comunistas comunista_ADJ_Masc_Plur
foi ser_AUX_Fin_Sing
Bolsonaro bolsonaro_NOUN_Masc_Sing
ter ter_AUX_Inf_Sing
vencido vencer_VERB_Part
as o_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
com com_ADP
o o_DET_Masc_Sing
apoio apoio_NOUN_Masc_Sing
das de_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
. .
Provaram provar_VERB_Fin_Plur
de de_ADP
' '
cicuta cicuta_NOUN_Fem_Sing
digital digital_ADJ_Fem_Sing
' '
, ,
veneno veneno_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
não não_ADV
os o_PRON_Masc_Plur
matou matar_VERB_Fin_Sing
, ,
mas mas_CCONJ
os o_PRON_Masc_Plur
reduziu reduzir_VERB_Fin_Sing
a a_ADP
pó pó_NOUN
de de_ADP
enxofre enxofre_NOUN_Masc_Sing
. .
