@Jouberth19 twitterhandle_VERB_Fin_Plur
Obrigada obrigado_INTJ
Presidente presidente_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
por por_ADP
td td_NOUN_Masc_Sing
, ,
que que_SCONJ
Deus deus_PROPN_Masc_Sing
te tu_PRON_Masc_Sing
abençoe abençoar_VERB_Fin_Sing
e e_CCONJ
te tu_PRON_Masc_Sing
proteja proteger_VERB_Fin_Sing
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
clapping_hands_e clapping_hands_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
