@evanuel twitterhandle_NOUN_Masc_Sing
@aguedescartoon twitterhandle_ADJ_Masc_Sing
Até até_ADV
nadando nadar_VERB_Part
na em_o_ADP_DET_Fem_Sing
praia praia_PROPN_Fem_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
aglomerou aglomerar_VERB_Fin_Sing
! !
Isso isso_PRON_Masc_Sing
no em_o_ADP_DET_Masc_Sing
auge auge_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
PANDEMIA pandemia_NOUN_Fem_Sing
! !
Pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
Deus deus_PROPN_Masc_Sing
! !
Se se_SCONJ
a o_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
fosse ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
de de_ADP
sair sair_VERB_Inf
pra pra_ADP
trabalhar trabalhar_VERB_Inf
ele ele_PRON_Masc_Sing
seria ser_AUX_Fin_Sing
contra contra_ADP
! !
Ele ele_PRON_Masc_Sing
não não_ADV
tá estar_AUX_Fin_Sing
nem nem_ADV
aí aí_ADV
pra para_o_ADP_DET_Fem_Sing
população população_NOUN_Fem_Sing
! !
Só só_ADV
quer querer_VERB_Fin_Sing
voto voto_NOUN_Masc_Sing
e e_CCONJ
continuar continuar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
poder poder_NOUN_Masc_Sing
! !
