Não não_ADV
estou estar_AUX_Fin_Sing
cabendo caber_VERB_Ger
em em_ADP
mim eu_PRON_Sing
, ,
primeiro primeiro_ADJ_Masc_Sing
pela por_o_ADP_DET_Fem_Sing
posse posse_NOUN_Fem_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
e e_CCONJ
sua seu_DET_Fem_Sing
equipe equipe_NOUN_Fem_Sing
Maiúscula maiúsculo_ADJ_Fem_Sing
. .
Segundo segundo_ADP
pq pq_NOUN_Masc_Sing
o o_DET_Masc_Sing
Presida presida_NOUN_Masc_Sing
vai ir_AUX_Fin_Sing
liberar liberar_VERB_Inf
o o_DET_Masc_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
p p_NOUN_Masc_Plur
pessoas pessoa_NOUN_Fem_Plur
sem sem_ADP
ficha ficha_NOUN_Fem_Sing
criminal criminal_ADJ_Fem_Sing
. .
Daí de_aí_ADP_ADV
que que_SCONJ
a o_DET_Fem_Sing
bandidagem bandidagem_NOUN_Fem_Sing
, ,
vai ir_AUX_Fin_Sing
pensar pensar_VERB_Inf
2 2_NUM
vezes vezes_NOUN_Masc_Plur
antes antes_ADV
de de_ADP
vir vir_AUX_Inf
roubar roubar_VERB_Inf
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_ADV
. .
Minha meu_DET_Fem_Sing
. .
40 40_NUM
me eu_PRON_Masc_Sing
aguarde aguardar_VERB_Fin_Sing
, ,
menina menina_NOUN_Fem_Sing
! !
grinning_face_e grinning_face_e
