@oswaldojor twitterhandle_NOUN_Masc_Sing
As o_DET_Fem_Plur
imagens imagem_NOUN_Fem_Plur
mostram mostrar_VERB_Fin_Plur
o o_DET_Masc_Sing
VICE vice_ADJ_Masc_Sing
candidato candidato_NOUN_Masc_Sing
recebendo receber_VERB_Ger
propina propina_NOUN_Fem_Sing
e e_CCONJ
NÃO não_ADV
o o_DET_Masc_Sing
candidato candidato_NOUN_Masc_Sing
a a_ADP
prefeito prefeito_NOUN_Masc_Sing
Charles charles_PROPN_Masc_Sing
Batista batista_PROPN_Sing
. .
A o_DET_Fem_Sing
reportagem reportagem_NOUN_Fem_Sing
associa associar_VERB_Fin_Sing
o o_DET_Masc_Sing
Charles charles_PROPN_Masc_Sing
minuto minuto_NOUN_Masc_Sing
1:37 @card@
do de_o_ADP_DET_Masc_Sing
nada nada_NOUN_Masc_Sing
, ,
para para_ADP
jogar jogar_VERB_Inf
a o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
Bolsonaro bolsonaro_PROPN_Fem_Sing
. .
É ser_AUX_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
está estar_AUX_Fin_Sing
neste em_este_ADP_DET_Masc_Sing
vídeo vídeo_NOUN_Masc_Sing
. .
Agora agora_ADV
se se_SCONJ
o o_DET_Masc_Sing
Oswaldo oswaldo_PROPN_Masc_Sing
afirma afirmar_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
contrário contrário_NOUN_Masc_Sing
, ,
deve dever_AUX_Fin_Sing
saber saber_VERB_Inf
algo algo_PRON_Masc_Sing
mais mais_ADV
? ?
